,ID,p7,p12,p5,p15,p9,p2,p17,p18,p20,p6
402,294,3,4,2,4,4,4,4,3,4,4
403,295,3,4,3,4,3,4,4,4,4,3
404,296,2,4,2,4,2,4,2,3,4,4
405,296,3,2,2,4,2,3,2,3,3,2
406,297,3,3,2,3,3,3,3,3,4,3
407,298,3,3,3,4,3,3,3,3,3,3
408,299,3,2,2,4,4,3,2,3,1,2
409,300,3,3,2,4,2,3,3,3,3,3
410,301,1,4,2,4,4,4,3,3,3,4
411,302,3,2,2,4,3,3,3,3,3,3
412,303,2,3,2,4,3,3,4,3,4,4
413,304,4,3,4,4,3,4,3,4,3,4
414,304,4,4,4,4,4,4,4,3,4,4
415,305,3,2,2,3,2,2,4,3,3,2
416,305,2,4,4,4,3,4,4,4,4,3
417,306,3,2,2,4,2,3,3,3,3,3
418,307,3,3,2,4,3,4,4,3,4,2
419,308,4,3,4,4,4,4,4,4,4,4
420,309,4,3,3,4,3,3,3,3,4,3
421,310,4,3,3,4,3,4,4,3,4,3
422,310,3,3,3,4,3,3,4,3,4,3
423,311,4,4,3,4,4,4,4,3,4,4
424,312,2,4,4,4,4,1,4,1,1,4
425,313,3,3,3,4,3,2,3,3,4,3
426,314,4,3,2,4,3,3,3,3,3,2
427,314,4,3,4,4,3,3,4,4,4,3
428,314,1,4,2,4,2,3,4,3,3,2
429,315,3,4,2,3,4,4,4,4,4,4
430,315,4,4,2,4,2,3,4,4,4,2
431,316,4,3,3,4,3,3,4,4,4,3
432,317,4,4,2,4,4,3,3,3,4,3
433,317,4,3,3,2,3,4,4,3,3,4
434,318,3,3,2,3,2,3,2,3,4,2
435,319,3,3,3,4,3,3,3,3,3,3
436,320,4,3,3,4,3,4,3,3,4,4
437,320,3,3,3,4,3,4,4,4,4,4
438,321,1,4,3,4,4,4,4,4,4,3
439,322,2,3,3,4,3,4,4,4,4,4
440,323,4,4,4,4,4,4,4,4,4,4
441,324,4,3,3,4,3,3,4,3,4,2
442,324,4,4,1,4,3,4,3,4,4,2
443,325,4,3,4,4,4,4,4,4,4,4
444,325,4,4,3,4,4,4,3,4,4,2
445,325,4,4,3,4,3,4,4,4,4,4
446,326,2,2,2,4,3,3,2,3,3,2
447,327,4,3,3,4,3,4,4,3,3,3
448,327,4,4,4,4,4,3,4,4,4,4
449,328,3,3,2,4,3,4,3,4,4,2
450,329,3,3,2,3,3,4,4,4,2,3
451,330,3,2,2,2,2,3,4,3,3,2
452,332,1,4,3,4,3,3,3,3,4,3
453,332,4,3,3,4,3,3,3,3,4,3
454,333,4,4,4,4,4,3,3,3,3,4
455,333,3,4,4,4,4,4,4,3,3,4
456,334,4,2,2,4,2,3,2,3,3,3
457,335,1,4,4,4,4,4,4,4,4,4
458,336,2,3,3,3,3,3,3,4,4,3
459,337,3,4,2,4,2,3,1,3,3,2
460,338,3,2,2,4,2,3,2,3,3,2
461,339,4,3,3,4,2,3,3,3,2,3
462,340,3,3,3,3,3,2,3,3,4,3
463,341,2,4,3,4,4,3,2,3,4,4
464,342,3,4,2,4,2,4,4,3,3,2
465,343,2,3,4,4,3,3,4,4,4,2
466,344,4,3,2,4,2,4,4,3,4,3
467,345,3,2,4,4,2,3,2,3,3,2
468,345,4,3,3,4,4,4,1,1,1,4
469,346,3,2,2,4,2,3,4,3,4,3
470,347,1,2,4,4,2,3,3,3,3,4
471,347,3,2,2,2,2,3,2,3,4,2
472,348,4,2,1,3,2,3,2,3,4,2
473,348,4,4,3,3,3,4,3,4,2,2
474,349,4,4,3,3,4,3,3,4,3,4
475,350,3,3,2,3,3,3,3,2,4,3
476,350,3,2,2,2,2,3,2,3,3,2
477,351,3,3,4,3,4,4,4,3,4,4
478,352,4,4,4,4,2,3,2,3,3,4
479,353,4,4,2,4,4,4,3,4,3,3
480,353,4,2,2,4,4,4,4,4,4,3
481,354,4,3,2,2,1,4,2,3,4,3
482,354,3,4,4,4,4,2,2,3,3,4
483,355,4,4,4,4,2,4,4,3,1,2
484,355,4,4,3,4,4,3,4,4,4,3
485,356,1,4,4,3,2,3,2,3,4,4
486,356,4,2,3,4,2,2,2,2,3,4
487,357,4,3,2,4,4,4,2,3,3,4
488,357,3,3,2,4,4,3,2,3,4,4
489,358,4,3,3,4,4,4,4,3,4,3
490,358,4,4,3,4,3,4,4,3,4,4
491,359,2,3,3,4,4,4,4,3,3,3
492,360,3,4,3,2,3,4,2,3,3,4
493,361,2,4,3,4,2,4,3,4,4,4
494,361,3,4,3,4,3,2,4,3,3,4
495,362,3,2,2,2,2,3,2,3,3,4
496,363,3,2,2,2,2,3,2,4,3,2
497,364,2,3,3,4,4,4,3,1,1,3
498,364,2,4,3,2,2,4,2,3,3,4
499,365,2,3,3,4,4,4,4,3,3,3
500,365,2,3,1,3,4,1,3,2,2,2
501,366,3,4,2,4,4,3,4,4,4,4
502,366,4,4,4,4,4,4,4,2,4,4
503,367,1,4,2,4,4,3,2,4,3,2
504,368,3,2,3,2,4,3,2,2,4,1
505,368,3,2,4,2,2,2,2,3,1,3
506,369,4,3,2,4,3,4,4,3,4,2
507,369,4,3,2,4,4,3,3,3,4,3
508,370,2,3,3,3,3,2,3,2,2,3
509,371,4,4,4,4,4,3,4,3,4,4
510,371,4,3,4,4,3,1,4,3,1,4
